nome_planeta,categoria_original,categoria_predita,previsao_correta
HD 219134 f,Terrestre,Terrestre,True
WASP-59 b,Terrestre,Terrestre,True
Kepler-727 b,Terrestre,Terrestre,True
KOI-94 c,Terrestre,Terrestre,True
Kepler-1195 b,Terrestre,Terrestre,True
Kepler-615 b,Terrestre,Terrestre,True
HD 50554 b,Terrestre,Terrestre,True
Kepler-946 b,Terrestre,Terrestre,True
Kepler-1287 b,Terrestre,Terrestre,True
Kepler-81 d,Terrestre,Terrestre,True
HD 147379 b,Terrestre,Terrestre,True
Kepler-1811 b,Terrestre,Terrestre,True
Kepler-65 d,Terrestre,Terrestre,True
Kepler-592 b,Terrestre,Terrestre,True
Kepler-398 d,Terrestre,Terrestre,True
Kepler-733 b,Terrestre,Terrestre,True
HD 74698 c,Terrestre,Terrestre,True
Kepler-254 c,Terrestre,Terrestre,True
HD 136352 c,Terrestre,Terrestre,True
HD 48265 b,Terrestre,Terrestre,True
Kepler-292 d,Terrestre,Terrestre,True
Kepler-1526 b,Terrestre,Terrestre,True
Kepler-222 d,Terrestre,Terrestre,True
Kepler-257 d,Terrestre,Terrestre,True
HAT-P-30 b,Terrestre,Terrestre,True
DMPP-3 A b,Terrestre,Terrestre,True
HD 25463 c,Terrestre,Terrestre,True
Kepler-388 c,Terrestre,Terrestre,True
HD 11755 b,Terrestre,Terrestre,True
HD 114783 b,Terrestre,Terrestre,True
Kepler-776 b,Terrestre,Terrestre,True
Kepler-1405 b,Terrestre,Terrestre,True
Kepler-341 e,Terrestre,Terrestre,True
Kepler-936 b,Terrestre,Terrestre,True
TOI-1269 b,Terrestre,Terrestre,True
nu Oct A b,Terrestre,Terrestre,True
HD 188015 b,Terrestre,Terrestre,True
Kepler-348 c,Terrestre,Terrestre,True
K2-19 b,Terrestre,Terrestre,True
WASP-131 b,Terrestre,Terrestre,True
Kepler-198 c,Terrestre,Terrestre,True
HD 164509 b,Terrestre,Terrestre,True
Kepler-1741 b,Terrestre,Terrestre,True
HD 102195 b,Terrestre,Terrestre,True
Kepler-1702 b,Terrestre,Terrestre,True
HD 6434 b,Terrestre,Terrestre,True
Kepler-114 b,Terrestre,Terrestre,True
WASP-145 A b,Terrestre,Terrestre,True
Kepler-138 d,Terrestre,Terrestre,True
GJ 9827 b,Terrestre,Terrestre,True
Kepler-1630 b,Terrestre,Terrestre,True
Kepler-328 c,Terrestre,Terrestre,True
Kepler-265 b,Terrestre,Terrestre,True
G 192-15 b,Terrestre,Terrestre,True
Kepler-415 c,Terrestre,Terrestre,True
Kepler-434 b,Terrestre,Terrestre,True
