nome_planeta,similaridade_terra,pl_rade,pl_bmasse,pl_orbsmax
Kepler-124 c,56.94424991433077,175000000.0,371000000.0,0.1
Kepler-124 d,60.91261354203867,111000000.0,141000000.0,0.17
Kepler-1241 b,43.741987961151274,263000000.0,741000000.0,0.1336
Kepler-1242 b,50.19107690891304,226000000.0,573000000.0,0.1039
Kepler-1243 b,56.19846425348839,175000000.0,371000000.0,0.1256
Kepler-1244 b,64.4209443627828,135000000.0,239000000.0,0.0502
Kepler-1245 b,63.16498649634347,144000000.0,267000000.0,0.0484
Kepler-1245 c,63.5161201681298,144000000.0,267000000.0,0.0372
Kepler-1246 b,62.41363059903004,136000000.0,242000000.0,0.0848
Kepler-1247 b,49.19168734838943,233000000.0,604000000.0,0.1091
Kepler-1248 b,65.696225015995,118000000.0,176000000.0,0.0806
Kepler-1249 b,45.86338201084992,238000000.0,626000000.0,0.167
Kepler-125 b,51.00746164037954,237000000.0,621000000.0,0.041
Kepler-125 c,77.84304870227245,0.74,0.33,0.051
Kepler-1250 b,57.50087885286639,192000000.0,435000000.0,0.0393
Kepler-1251 b,49.20419336923179,184000000.0,404000000.0,0.2478
Kepler-1252 b,57.65503067284506,167000000.0,343000000.0,0.1078
Kepler-1254 b,60.41960158214307,155000000.0,302000000.0,0.0833
Kepler-1254 c,65.04725362572671,130000000.0,224000000.0,0.0422
Kepler-1254 d,64.40039929031259,131000000.0,227000000.0,0.0575
Kepler-1255 b,43.74607010198661,232000000.0,599000000.0,0.2226
Kepler-1257 b,62.60771942697737,152000000.0,292000000.0,0.0376
Kepler-1259 b,64.37744105471758,143000000.0,263000000.0,0.0141
Kepler-126 b,57.42942795229332,152000000.0,411726105.0,0.099
Kepler-126 c,52.82197376257667,158000000.0,127942148.0,0.162
Kepler-1260 b,55.37798969128648,177000000.0,378000000.0,0.1444
Kepler-1261 b,43.566890632806334,226000000.0,573000000.0,0.239
Kepler-1262 b,57.308332488723856,182000000.0,397000000.0,0.083
Kepler-1263 b,67.02287618809933,114000000.0,155000000.0,0.0499
Kepler-1265 b,63.72979570304668,135000000.0,239000000.0,0.0612
Kepler-1267 b,39.485166797712616,301000000.0,932000000.0,0.1057
Kepler-1268 b,46.68772168787221,203000000.0,478000000.0,0.2383
Kepler-127 b,51.88845934948665,140000000.0,254000000.0,0.125
Kepler-127 c,40.761604234286565,266000000.0,756000000.0,0.2
Kepler-127 d,38.337949390244205,264000000.0,746000000.0,0.28
Kepler-1272 b,42.039030300803994,237000000.0,621000000.0,0.2705
Kepler-1273 b,43.24509133131647,249000000.0,676000000.0,0.1857
Kepler-1275 b,62.85713777625658,148000000.0,279000000.0,0.0488
Kepler-1281 b,60.98638486132363,164000000.0,333000000.0,0.0415
Kepler-1282 b,62.36641553675568,155000000.0,302000000.0,0.0335
Kepler-1283 b,55.07379008427621,191000000.0,431000000.0,0.1062
Kepler-1284 b,67.08924390926074,121000000.0,192000000.0,0.0143
Kepler-1286 b,52.27948069853734,215000000.0,527000000.0,0.0991
Kepler-1287 b,60.17170684019696,154000000.0,299000000.0,0.0976
Kepler-1289 b,61.289425863496874,152000000.0,292000000.0,0.0785
Kepler-1290 b,63.33457065126274,142000000.0,260000000.0,0.0557
Kepler-1291 b,59.38012674388456,166000000.0,339000000.0,0.0779
Kepler-1292 b,58.64660546805424,182000000.0,397000000.0,0.0443
Kepler-1295 b,61.94982031559942,155000000.0,302000000.0,0.0464
Kepler-1296 b,77.19663897556245,0.91,0.693,0.0896
Kepler-1297 b,78.85682795499646,0.97,0.871,0.0283
Kepler-1299 b,38.21675343221424,298000000.0,917000000.0,0.1357
Kepler-130 b,62.63051320864492,102000000.0,104000000.0,0.079
Kepler-130 c,37.55064181759095,290000000.0,875000000.0,0.178
Kepler-1301 b,62.48804164458409,140000000.0,254000000.0,0.0815
Kepler-1302 b,62.187859549939034,143000000.0,263000000.0,0.0795
Kepler-1303 b,62.62456127526066,142000000.0,260000000.0,0.0751
Kepler-1304 b,49.15613543435368,229000000.0,586000000.0,0.1202
Kepler-1305 b,55.3226338569015,188000000.0,419000000.0,0.1109
Kepler-1306 b,54.243990925216615,191000000.0,431000000.0,0.123
Kepler-1307 b,46.16847757975653,247000000.0,666000000.0,0.1369
Kepler-1308 b,78.75218249264542,0.52,0.0933,0.025
Kepler-1309 b,44.89421074836168,237000000.0,621000000.0,0.1679
Kepler-1314 b,17.9296772252807,511000000.0,2290000000.0,0.0504
Kepler-1317 b,62.77438679010645,156000000.0,305000000.0,0.0128
Kepler-1319 b,55.47013868645438,134000000.0,236000000.0,0.0296
Kepler-132 b,65.55883131581167,121000000.0,192000000.0,0.067
Kepler-132 c,64.59044920720342,128000000.0,218000000.0,0.068
Kepler-132 d,58.433183635926525,155000000.0,302000000.0,0.136
Kepler-1320 b,61.00992514778587,170000000.0,353000000.0,0.0163
Kepler-1321 b,16.93990710982598,492000000.0,2150000000.0,0.0781
Kepler-1321 c,51.058306707684594,240000000.0,635000000.0,0.0267
Kepler-1321 d,46.93286067273949,262843782.0,741000000.0,0.0501
Kepler-1322 b,62.14618716247531,161000000.0,322000000.0,0.0183
Kepler-1322 c,53.40066609372916,215492527.0,529000000.0,0.0652
Kepler-1324 b,62.36928605124295,151000000.0,289000000.0,0.0466
Kepler-1325 b,36.56331881140116,286000000.0,855000000.0,0.2004
Kepler-1326 b,16.850010947269396,418000000.0,1630000000.0,0.2743
Kepler-1329 b,52.48669603031382,217000000.0,535000000.0,0.0747
Kepler-133 b,58.220183152718064,176000000.0,375000000.0,0.083
Kepler-133 c,37.443492135726906,284000000.0,845000000.0,0.204
Kepler-1330 b,59.134329636114046,165000000.0,336000000.0,0.0889
Kepler-1331 b,69.39662770505858,105000000.0,116000000.0,0.0142
Kepler-1334 b,49.27577239156194,229000000.0,586000000.0,0.1229
Kepler-1335 b,62.57172563855084,145000000.0,270000000.0,0.0615
Kepler-1337 b,45.43170785750886,241000000.0,639000000.0,0.1441
Kepler-134 b,55.77221317103165,200000000.0,466000000.0,0.06
Kepler-134 c,63.902694352401966,126000000.0,213000000.0,0.092
Kepler-1342 b,60.96912974072989,166000000.0,339000000.0,0.0313
Kepler-1343 b,57.19637268955503,193000000.0,438000000.0,0.0449
Kepler-1346 b,61.67772480004101,158000000.0,312000000.0,0.044
Kepler-1347 b,66.19410204203938,103000000.0,108000000.0,0.104
Kepler-1348 b,51.06278716832712,194000000.0,442000000.0,0.1834
Kepler-135 b,58.10522047786946,181000000.0,393000000.0,0.067
Kepler-135 c,65.0190295892693,116000000.0,165000000.0,0.103
Kepler-1350 b,48.79288481648903,252000000.0,690000000.0,0.0413
Kepler-1350 c,60.18434534896184,173000000.0,364000000.0,0.0222
Kepler-1351 b,79.27345207100181,0.65,0.208,0.0156
Kepler-1353 b,53.5940541528359,180000000.0,389000000.0,0.153
Kepler-1355 b,63.68382631652637,146000000.0,273000000.0,0.0224
Kepler-1356 b,63.134798511831725,153000000.0,296000000.0,0.0136
Kepler-1357 b,65.43410179726926,128000000.0,218000000.0,0.041
Kepler-1358 b,66.6822245911576,112000000.0,146000000.0,0.0656
Kepler-136 b,32.999174310118704,205000000.0,1980000000.0,0.106
Kepler-136 c,53.161012037880035,199000000.0,462000000.0,0.133
Kepler-1360 b,26.63841779831364,340000000.0,1150000000.0,0.2866
Kepler-1363 b,65.79740093002633,125000000.0,210000000.0,0.0363
Kepler-1364 b,51.76722909114571,215000000.0,527000000.0,0.1284
Kepler-1366 b,63.8412510954503,143000000.0,263000000.0,0.0273
Kepler-1367 b,78.88353122808671,0.92,0.721,0.0236
Kepler-1368 b,61.638124775417516,165000000.0,336000000.0,0.0153
Kepler-1369 b,41.0564465090773,269000000.0,770000000.0,0.1741
Kepler-137 b,61.79334203063848,147000000.0,276000000.0,0.077
Kepler-137 c,54.041305522991564,188000000.0,419000000.0,0.13
