nome_planeta,categoria_original,categoria_predita,previsao_correta
Kepler-210 c,Não-Terrestre,Não-Terrestre,True
KOI-351 c,Terrestre,Terrestre,True
Kepler-301 d,Terrestre,Terrestre,True
Kepler-354 c,Terrestre,Terrestre,True
Kepler-67 b,Não-Terrestre,Não-Terrestre,True
Kepler-253 c,Não-Terrestre,Não-Terrestre,True
TOI-1052 c,Não-Terrestre,Não-Terrestre,True
Kepler-562 b,Não-Terrestre,Não-Terrestre,True
Kepler-1246 b,Terrestre,Terrestre,True
Kepler-1532 b,Terrestre,Terrestre,True
Kepler-171 c,Não-Terrestre,Não-Terrestre,True
Kepler-1384 b,Terrestre,Terrestre,True
Kepler-187 b,Terrestre,Terrestre,True
G 268-110 b,Terrestre,Terrestre,True
Kepler-1414 b,Terrestre,Terrestre,True
Kepler-260 b,Terrestre,Terrestre,True
TOI-1075 b,Terrestre,Terrestre,True
Kepler-2000 c,Terrestre,Terrestre,True
Kepler-927 b,Terrestre,Terrestre,True
Kepler-1108 b,Terrestre,Terrestre,True
Kepler-292 b,Terrestre,Terrestre,True
Kepler-329 c,Terrestre,Terrestre,True
Kepler-594 b,Terrestre,Terrestre,True
Kepler-1152 b,Terrestre,Terrestre,True
Kepler-183 c,Não-Terrestre,Não-Terrestre,True
Kepler-168 c,Não-Terrestre,Não-Terrestre,True
Kepler-1903 b,Terrestre,Terrestre,True
HD 63935 b,Não-Terrestre,Não-Terrestre,True
Kepler-1579 b,Terrestre,Terrestre,True
Kepler-1099 b,Não-Terrestre,Não-Terrestre,True
Kepler-313 c,Não-Terrestre,Não-Terrestre,True
Kepler-371 b,Não-Terrestre,Não-Terrestre,True
Kepler-285 b,Terrestre,Terrestre,True
HD 285968 b,Não-Terrestre,Não-Terrestre,True
HD 215152 c,Terrestre,Terrestre,True
Kepler-1987 c,Terrestre,Terrestre,True
Kepler-495 b,Não-Terrestre,Não-Terrestre,True
LP 714-47 b,Não-Terrestre,Não-Terrestre,True
TOI-1410 c,Não-Terrestre,Não-Terrestre,True
L 98-59 e,Não-Terrestre,Terrestre,False
Kepler-944 b,Não-Terrestre,Não-Terrestre,True
Kepler-157 b,Terrestre,Terrestre,True
Kepler-1377 b,Terrestre,Terrestre,True
