nome_planeta,categoria_original,categoria_predita,previsao_correta
Kepler-404 c,Não-Terrestre,Não-Terrestre,True
Kepler-788 b,Não-Terrestre,Não-Terrestre,True
Kepler-163 b,Não-Terrestre,Não-Terrestre,True
Kepler-114 d,Não-Terrestre,Não-Terrestre,True
Kepler-567 b,Não-Terrestre,Não-Terrestre,True
TOI-1269 b,Não-Terrestre,Não-Terrestre,True
Kepler-1113 b,Não-Terrestre,Não-Terrestre,True
Kepler-1511 b,Não-Terrestre,Não-Terrestre,True
Kepler-1031 b,Não-Terrestre,Não-Terrestre,True
K2-17 b,Terrestre,Terrestre,True
GJ 3998 b,Não-Terrestre,Não-Terrestre,True
Kepler-400 c,Não-Terrestre,Não-Terrestre,True
HD 5278 b,Terrestre,Terrestre,True
Kepler-1751 b,Não-Terrestre,Não-Terrestre,True
Kepler-415 b,Não-Terrestre,Não-Terrestre,True
Kepler-1649 b,Não-Terrestre,Não-Terrestre,True
Kepler-516 b,Não-Terrestre,Não-Terrestre,True
Kepler-996 b,Não-Terrestre,Não-Terrestre,True
Kepler-124 d,Não-Terrestre,Não-Terrestre,True
Kepler-683 b,Não-Terrestre,Não-Terrestre,True
Kepler-19 c,Terrestre,Terrestre,True
Kepler-172 e,Não-Terrestre,Não-Terrestre,True
GJ 486 b,Não-Terrestre,Não-Terrestre,True
Kepler-1987 c,Não-Terrestre,Não-Terrestre,True
HIP 5763 b,Não-Terrestre,Não-Terrestre,True
Kepler-1887 b,Não-Terrestre,Não-Terrestre,True
KELT-23 A b,Não-Terrestre,Não-Terrestre,True
Kepler-1954 b,Não-Terrestre,Não-Terrestre,True
Kepler-505 b,Não-Terrestre,Não-Terrestre,True
Kepler-244 b,Não-Terrestre,Não-Terrestre,True
Kepler-1723 b,Não-Terrestre,Não-Terrestre,True
Kepler-247 b,Não-Terrestre,Não-Terrestre,True
Kepler-790 b,Não-Terrestre,Não-Terrestre,True
Kepler-1627 b,Não-Terrestre,Não-Terrestre,True
Kepler-186 e,Não-Terrestre,Não-Terrestre,True
Kepler-1171 b,Não-Terrestre,Não-Terrestre,True
Kepler-1275 b,Não-Terrestre,Não-Terrestre,True
Kepler-1115 b,Não-Terrestre,Não-Terrestre,True
Kepler-255 c,Não-Terrestre,Não-Terrestre,True
Kepler-765 b,Não-Terrestre,Não-Terrestre,True
TOI-216.01,Não-Terrestre,Não-Terrestre,True
TOI-4010 c,Não-Terrestre,Não-Terrestre,True
HAT-P-9 b,Não-Terrestre,Não-Terrestre,True
Kepler-349 b,Não-Terrestre,Não-Terrestre,True
Kepler-254 d,Não-Terrestre,Não-Terrestre,True
Kepler-1283 b,Não-Terrestre,Não-Terrestre,True
TOI-3785 b,Terrestre,Terrestre,True
Kepler-1926 b,Não-Terrestre,Não-Terrestre,True
HD 219134 b,Não-Terrestre,Não-Terrestre,True
Kepler-49 b,Não-Terrestre,Não-Terrestre,True
Kepler-612 b,Não-Terrestre,Não-Terrestre,True
