nome_planeta,similaridade_terra,pl_rade,pl_bmasse,pl_orbsmax
Kepler-229 b,72.09096973085438,220000000.0,548000000.0,0.062
Kepler-229 c,62.5747820681469,492000000.0,2150000000.0,0.117
Kepler-229 d,62.06761596375206,385000000.0,1420000000.0,0.22
Kepler-230 b,62.12386871203034,426000000.0,1680000000.0,0.191
Kepler-230 c,63.473733511056416,204000000.0,482000000.0,0.38
Kepler-231 b,69.42429240235059,173000000.0,3540000000.0,0.074
Kepler-231 c,68.77887529734625,193000000.0,2410000000.0,0.114
Kepler-232 b,69.86701498068123,308000000.0,969000000.0,0.054
Kepler-232 c,66.6169588974095,383000000.0,1400000000.0,0.101
Kepler-233 b,71.11524323999471,243000000.0,648000000.0,0.077
Kepler-233 c,62.51469475091874,271000000.0,780000000.0,0.287
Kepler-234 b,68.30775165420303,370000000.0,1320000000.0,0.04
Kepler-234 c,68.19093926471385,351000000.0,1210000000.0,0.077
Kepler-235 b,72.44612874205582,223000000.0,560000000.0,0.037
Kepler-235 c,74.34865350226926,128000000.0,218000000.0,0.065
Kepler-235 d,70.43096329987821,205000000.0,486000000.0,0.122
Kepler-235 e,66.03404743054422,222000000.0,556000000.0,0.213
Kepler-236 b,73.50564076368813,157000000.0,309000000.0,0.065
Kepler-236 c,69.98137210282992,200000000.0,466000000.0,0.132
Kepler-237 b,74.4717989211291,141000000.0,257000000.0,0.05
Kepler-237 c,72.14551464954906,208000000.0,498000000.0,0.071
Kepler-238 d,67.13836092424414,307000000.0,2310000000.0,0.115
Kepler-239 b,70.90038113592222,233000000.0,604000000.0,0.095
Kepler-239 c,63.711555531284134,251000000.0,685000000.0,0.268
Kepler-240 b,74.6634963065385,137000000.0,245000000.0,0.048
Kepler-240 c,61.518749970198286,220000000.0,10230000000.0,0.074
Kepler-241 b,70.75683268794836,233000000.0,604000000.0,0.094
Kepler-241 c,66.57249220766198,257000000.0,713000000.0,0.189
Kepler-242 b,70.64693388828317,261000000.0,732000000.0,0.075
Kepler-242 c,71.4050178762133,200000000.0,466000000.0,0.109
Kepler-243 b,71.47346583812507,245000000.0,657000000.0,0.062
Kepler-243 c,70.6014132255432,199000000.0,462000000.0,0.142
Kepler-244 b,70.80487192043424,276000000.0,805000000.0,0.05
Kepler-244 c,71.97810203360548,205000000.0,486000000.0,0.087
Kepler-244 d,68.72527440723768,231000000.0,1520000000.0,0.14
Kepler-245 c,68.19184724654403,218000000.0,2670000000.0,0.124
Kepler-245 d,63.92775084429027,303000000.0,2160000000.0,0.202
Kepler-246 b,71.9492092184436,234000000.0,608000000.0,0.052
Kepler-246 c,73.25853379029344,150000000.0,286000000.0,0.095
Kepler-247 b,74.0625002388535,164000000.0,333000000.0,0.042
Kepler-247 c,66.1219548214164,409000000.0,1570000000.0,0.084
Kepler-247 d,64.91865404676324,394000000.0,1470000000.0,0.14
Kepler-248 b,69.7576418052939,302000000.0,938000000.0,0.066
Kepler-248 c,65.1570950453743,407000000.0,1560000000.0,0.123
Kepler-249 b,75.56186466955614,109000000.0,132000000.0,0.035
Kepler-249 c,73.84431658132772,151000000.0,289000000.0,0.058
Kepler-249 d,72.44254886171218,157000000.0,309000000.0,0.097
Kepler-25 d,30.488590209369836,1000000000.0,7190000000.0,0.4164221832
Kepler-250 b,75.32197687352037,113000000.0,151000000.0,0.048
Kepler-250 c,71.73260065564897,228000000.0,582000000.0,0.069
Kepler-250 d,70.43434328097588,218000000.0,539000000.0,0.127
Kepler-251 b,74.67226340340166,133000000.0,233000000.0,0.053
Kepler-251 c,68.94218580771184,277000000.0,810000000.0,0.122
Kepler-251 d,66.89517391615829,277000000.0,810000000.0,0.182
Kepler-251 e,61.42434651274889,277000000.0,810000000.0,0.404
Kepler-252 b,74.65383273557602,123000000.0,204000000.0,0.058
Kepler-252 c,71.53904673876004,215000000.0,527000000.0,0.08
Kepler-253 b,74.02273759788906,163000000.0,329000000.0,0.046
Kepler-253 c,70.2212078323963,265000000.0,751000000.0,0.089
Kepler-253 d,67.5456103429542,317000000.0,1020000000.0,0.13
Kepler-254 b,67.32645046945962,387000000.0,1430000000.0,0.064
Kepler-254 c,71.5245781614201,215000000.0,320000000.0,0.105
Kepler-254 d,69.3738840983692,250000000.0,680000000.0,0.139
Kepler-255 b,73.9476125446261,155000000.0,302000000.0,0.063
Kepler-255 c,69.29775925765982,299000000.0,922000000.0,0.092
Kepler-255 d,75.26168946178333,132000000.0,230000000.0,0.0192
Kepler-256 b,74.45598588953762,159000000.0,315000000.0,0.027
Kepler-256 c,72.66039651730091,215000000.0,527000000.0,0.045
Kepler-256 d,71.37009241831703,248000000.0,671000000.0,0.064
Kepler-256 e,71.007837341698,235000000.0,612000000.0,0.096
Kepler-257 b,71.52190798873187,261000000.0,732000000.0,0.034
Kepler-257 c,62.46548612318513,541000000.0,2520000000.0,0.066
Kepler-257 d,61.19159494293706,495000000.0,2170000000.0,0.16
Kepler-258 b,65.64830885326776,406000000.0,1550000000.0,0.103
Kepler-258 c,63.91989830844875,361000000.0,1270000000.0,0.193
Kepler-259 b,70.11872360810848,280000000.0,825000000.0,0.079
Kepler-259 c,66.0746027515215,270000000.0,775000000.0,0.217
Kepler-26 b,70.81011253127149,278000000.0,512000000.0,0.08551
Kepler-26 c,70.13219462452167,272000000.0,620000000.0,0.10725
Kepler-26 d,75.58128165706349,107000000.0,124000000.0,0.039
Kepler-26 e,65.40633645636538,241000000.0,639000000.0,0.22
Kepler-260 b,72.32576280168436,201000000.0,470000000.0,0.075
Kepler-260 c,64.29378982881683,174000000.0,368000000.0,0.332
Kepler-261 b,71.5266301807468,218000000.0,539000000.0,0.088
Kepler-261 c,69.89077798216313,200000000.0,466000000.0,0.156
Kepler-262 b,73.34979615673005,136000000.0,242000000.0,0.108
Kepler-262 c,71.27919849017493,164000000.0,333000000.0,0.152
Kepler-263 b,69.21913577848588,267000000.0,761000000.0,0.12
Kepler-263 c,65.16196668397306,247000000.0,666000000.0,0.242
Kepler-264 b,63.66723538830629,333000000.0,1110000000.0,0.249
Kepler-265 b,72.93843752227274,186000000.0,412000000.0,0.069
Kepler-265 c,69.26432269456946,263000000.0,741000000.0,0.127
Kepler-265 d,65.73634845612524,249000000.0,676000000.0,0.236
Kepler-265 e,61.93726500403309,259000000.0,722000000.0,0.319
Kepler-266 b,71.25298025074892,248000000.0,671000000.0,0.071
Kepler-266 c,58.14500533418049,389000000.0,1440000000.0,0.457
Kepler-267 b,69.5845386881385,198000000.0,3790000000.0,0.037
Kepler-267 c,72.19207623471893,213000000.0,518000000.0,0.06
Kepler-267 d,68.5585364751766,227000000.0,577000000.0,0.154
Kepler-268 b,68.15153132423973,255000000.0,704000000.0,0.18
Kepler-268 c,59.65226205430624,338000000.0,1140000000.0,0.391
Kepler-269 b,71.47573122471492,247000000.0,666000000.0,0.061
Kepler-269 c,73.20772787756135,169000000.0,350000000.0,0.081
Kepler-270 b,71.83145202014786,201000000.0,470000000.0,0.107
Kepler-270 c,70.4161110023123,177000000.0,378000000.0,0.18
Kepler-272 b,66.64991018488101,143000000.0,7800000000.0,0.038
Kepler-272 c,63.23798546604535,179000000.0,9780000000.0,0.061
Kepler-272 d,71.2480791085362,225000000.0,569000000.0,0.091
Kepler-273 b,74.49865331161047,150000000.0,286000000.0,0.037
Kepler-273 c,72.43433134747242,198000000.0,458000000.0,0.073
Kepler-274 b,73.08425609917528,154000000.0,299000000.0,0.101
Kepler-274 c,69.03272919317115,184000000.0,404000000.0,0.204
Kepler-275 b,71.09263573592587,234000000.0,608000000.0,0.098
Kepler-275 c,67.23411805214174,338000000.0,1140000000.0,0.132
Kepler-275 d,64.43833086776068,333000000.0,1110000000.0,0.224
Kepler-278 b,62.56580289934386,407000000.0,1560000000.0,0.207
Kepler-279 e,53.153466916962834,413000000.0,5600000000.0,0.439
Kepler-280 b,74.75192515191434,145000000.0,270000000.0,0.032
Kepler-280 c,72.83384357211581,201000000.0,470000000.0,0.056
Kepler-281 b,39.9696243236977,282000000.0,32400000000.0,0.117
Kepler-282 b,74.89227790922165,101000000.0,101000000.0,0.082
Kepler-282 c,73.6941222985441,120000000.0,187000000.0,0.106
Kepler-283 b,71.5712068504788,213000000.0,518000000.0,0.082
Kepler-283 c,64.07659990841128,182000000.0,397000000.0,0.341
Kepler-284 b,71.01081145149584,224000000.0,565000000.0,0.104
Kepler-284 c,66.24138727234885,261000000.0,732000000.0,0.213
Kepler-285 b,74.97000116787412,134000000.0,236000000.0,0.036
Kepler-285 c,75.0441865792321,112000000.0,146000000.0,0.064
Kepler-286 b,75.35965445374049,124000000.0,207000000.0,0.027
Kepler-286 c,74.76516332419483,137000000.0,245000000.0,0.042
Kepler-286 d,74.50341153178148,133000000.0,233000000.0,0.061
Kepler-286 e,69.82113920156593,177000000.0,378000000.0,0.176
Kepler-287 b,61.41044158440528,233000000.0,8300000000.0,0.145
Kepler-287 c,57.372303114155315,326000000.0,6600000000.0,0.246
Kepler-288 b,73.56696639436183,167000000.0,343000000.0,0.065
Kepler-288 c,68.29366110075382,285000000.0,850000000.0,0.14
Kepler-288 d,63.19702511275933,267000000.0,761000000.0,0.287
Kepler-290 b,70.69915492142403,225000000.0,569000000.0,0.11
Kepler-290 c,66.09784322452127,270000000.0,775000000.0,0.205
Kepler-290 d,78.73769837054635,0.86,0.566,0.0154
Kepler-291 b,72.60902604007447,216000000.0,531000000.0,0.047
Kepler-291 c,73.05657841079513,188000000.0,419000000.0,0.065
Kepler-292 b,75.03093894885579,132000000.0,230000000.0,0.035
Kepler-292 c,74.46210837013842,147000000.0,276000000.0,0.045
Kepler-292 d,71.88767304657927,223000000.0,560000000.0,0.068
Kepler-292 e,69.90890185238484,267000000.0,761000000.0,0.097
Kepler-292 f,69.48183028697623,235000000.0,612000000.0,0.141
Kepler-293 b,67.66764605608653,307000000.0,964000000.0,0.144
Kepler-293 c,60.18740773822538,383000000.0,1400000000.0,0.286
Kepler-294 b,73.65696137624053,177000000.0,378000000.0,0.048
Kepler-294 c,70.60004164471549,271000000.0,780000000.0,0.071
Kepler-295 b,73.78516695784603,122000000.0,198000000.0,0.099
Kepler-295 c,72.59548514821192,117000000.0,171000000.0,0.142
Kepler-295 d,70.21994319931686,136000000.0,242000000.0,0.192
Kepler-297 b,61.044008579089386,287000000.0,4850000000.0,0.217
Kepler-297 c,49.02261701673217,654000000.0,4210000000.0,0.336
Kepler-298 b,72.11959436991205,196000000.0,450000000.0,0.08
Kepler-298 c,70.3304259826256,193000000.0,438000000.0,0.136
Kepler-298 d,62.19159315777437,250000000.0,680000000.0,0.305
Kepler-299 b,74.97888781065146,132000000.0,230000000.0,0.04
Kepler-299 c,70.73165862875089,265000000.0,751000000.0,0.07
Kepler-299 d,71.70464663752938,186000000.0,412000000.0,0.118
Kepler-299 e,68.18538292438542,187000000.0,416000000.0,0.22
Kepler-30 b,63.392861889345525,390000000.0,1130000000.0,0.18
Kepler-300 b,72.91328219153102,167000000.0,343000000.0,0.094
Kepler-300 c,66.77231776912012,225000000.0,569000000.0,0.232
Kepler-301 b,74.9623538473993,135000000.0,239000000.0,0.036
Kepler-301 c,74.52489212374573,135000000.0,239000000.0,0.06
Kepler-301 d,72.20041192709314,175000000.0,371000000.0,0.112
Kepler-302 b,63.09507728089337,406000000.0,1550000000.0,0.193
Kepler-303 b,78.44654727116946,0.89,0.64,0.024
Kepler-303 c,74.85658580422758,114000000.0,155000000.0,0.057
Kepler-304 b,70.67145669347781,286000000.0,855000000.0,0.039
Kepler-304 c,72.31552092048939,217000000.0,535000000.0,0.054
Kepler-304 d,70.03059907237692,275000000.0,800000000.0,0.08
Kepler-306 b,74.18871641059962,152000000.0,292000000.0,0.05
Kepler-306 c,71.52509745339984,235000000.0,612000000.0,0.067
Kepler-306 d,69.67206965091738,247000000.0,666000000.0,0.12
Kepler-306 e,66.09705532797348,227000000.0,577000000.0,0.227
Kepler-308 b,71.79614054271462,212000000.0,514000000.0,0.09
Kepler-308 c,70.83003374866438,216000000.0,531000000.0,0.123
Kepler-309 b,73.88970874027991,156000000.0,305000000.0,0.059
Kepler-309 c,62.162979292041875,251000000.0,685000000.0,0.401
Kepler-310 b,73.67991609893161,119000000.0,181000000.0,0.111
Kepler-310 c,61.16366429866264,338000000.0,1140000000.0,0.281
Kepler-311 b,73.02369534583754,170000000.0,353000000.0,0.087
Kepler-311 c,72.16075840848313,143000000.0,263000000.0,0.145
Kepler-312 b,75.23189589011656,129000000.0,221000000.0,0.031
Kepler-312 c,67.35820850180325,315000000.0,1010000000.0,0.153
Kepler-313 b,69.85667259032783,253000000.0,694000000.0,0.125
Kepler-313 c,67.14255874550979,257000000.0,713000000.0,0.208
Kepler-314 b,78.36778479092472,0.83,0.498,0.035
Kepler-314 c,70.15648323289919,290000000.0,875000000.0,0.064
Kepler-315 b,58.49902718247455,377000000.0,1370000000.0,0.402
Kepler-316 b,75.80474054625785,106000000.0,120000000.0,0.027
Kepler-316 c,74.83443695150547,116000000.0,165000000.0,0.058
Kepler-317 b,61.340874405684325,209000000.0,10980000000.0,0.061
Kepler-317 c,73.028883760643,172000000.0,361000000.0,0.083
Kepler-318 b,64.948657600207,471000000.0,1990000000.0,0.056
Kepler-318 c,66.99666803602074,368000000.0,1310000000.0,0.105
Kepler-319 b,73.93575262628787,163000000.0,329000000.0,0.051
Kepler-319 c,70.78054707950388,263000000.0,741000000.0,0.069
Kepler-319 d,68.00374746966897,229000000.0,586000000.0,0.191
Kepler-320 b,74.65962399424541,114000000.0,155000000.0,0.085
Kepler-320 c,72.5907093309285,137000000.0,245000000.0,0.142
Kepler-321 b,73.47446472067175,177000000.0,378000000.0,0.057
Kepler-321 c,70.72895717819482,232000000.0,599000000.0,0.11
Kepler-322 b,76.02958913898367,101000000.0,101000000.0,0.027
Kepler-322 c,73.83151888466455,167000000.0,343000000.0,0.051
Kepler-324 c,62.95522975269468,315000000.0,620000000.0,0.26
Kepler-325 b,70.34069568096258,291000000.0,880000000.0,0.053
Kepler-325 c,70.15997147603163,254000000.0,699000000.0,0.105
Kepler-325 d,65.54799193830377,279000000.0,820000000.0,0.22
Kepler-326 b,70.1079333227169,152000000.0,4460000000.0,0.032
Kepler-326 c,72.93513385336682,140000000.0,1740000000.0,0.051
Kepler-326 d,74.16774497984147,121000000.0,690000000.0,0.066
Kepler-327 b,75.61947875895758,111000000.0,141000000.0,0.029
Kepler-327 c,73.39272288799876,103000000.0,2030000000.0,0.047
Kepler-327 d,72.22164413455839,173000000.0,364000000.0,0.09
Kepler-328 b,65.09624331283779,230000000.0,2850000000.0,0.2199
Kepler-328 c,51.964933925115595,540000000.0,3940000000.0,0.354
Kepler-329 b,74.09226129313956,140000000.0,254000000.0,0.061
Kepler-329 c,70.96833586527751,193000000.0,438000000.0,0.113
